year	component	emission	value	unit
2015	import_footprint	HFC	1456472.8758072122	t
2015	production_account	HFC	657228.4379328	t
2015	total_footprint	HFC	1908393.4845038669	t
2015	total_footprint_with_households	HFC	2160565.0754951667	t
2015	production_account_with_households	HFC	909400.0289241001	t
2015	household_totals	HFC	252171.5909913	t
2015	domestic_footprint	N2O	5170.948406764642	t
2015	footprint_gross_exports	N2O	6553.9810593831635	t
2015	footprint_gross_imports	N2O	14087.635801205743	t
2015	import_footprint	N2O	10981.233538757939	t
2015	production_account	N2O	8618.5272037	t
2015	total_footprint	N2O	16152.18194552258	t
2015	total_footprint_with_households	N2O	16406.07715562258	t
2015	production_account_with_households	N2O	8872.422413799999	t
2015	household_totals	N2O	253.8952101	t
2015	domestic_footprint	PFC	9847.319659706816	t
2015	footprint_gross_exports	PFC	465481.1076410811	t
2015	footprint_gross_imports	PFC	695844.8714212911	t
2015	import_footprint	PFC	352144.05142050335	t
2015	production_account	PFC	131627.6073	t
2015	total_footprint	PFC	361991.37108021014	t
2015	total_footprint_with_households	PFC	361991.37108021014	t
2015	production_account_with_households	PFC	131627.6073	t
2015	household_totals	PFC	0.0	t
2015	domestic_footprint	SF6_NF3	32122.319975823943	t
2015	footprint_gross_exports	SF6_NF3	192377.59373378157	t
2015	footprint_gross_imports	SF6_NF3	551815.8217746564	t
2015	import_footprint	SF6_NF3	371991.61495005083	t
2015	production_account	SF6_NF3	44675.706885	t
2015	total_footprint	SF6_NF3	404113.93492587475	t
2015	total_footprint_with_households	SF6_NF3	429103.13424987474	t
2015	production_account_with_households	SF6_NF3	69664.90620900001	t
2015	household_totals	SF6_NF3	24989.199324	t
2016	domestic_footprint	Biomass CO2	1627.347914853412	kt
2016	footprint_gross_exports	Biomass CO2	2152.2478032386134	kt
2016	footprint_gross_imports	Biomass CO2	6363.215582459567	kt
2016	import_footprint	Biomass CO2	4941.443148667541	kt
2016	production_account	Biomass CO2	2357.8232843	kt
2016	total_footprint	Biomass CO2	6568.791063520953	kt
2016	total_footprint_with_households	Biomass CO2	8699.155954120954	kt
2016	production_account_with_households	Biomass CO2	4488.1881749	kt
2016	household_totals	Biomass CO2	2130.3648906	kt
2016	domestic_footprint	CH4	114082.1200931792	t
2016	footprint_gross_exports	CH4	233782.9069845821	t
2016	footprint_gross_imports	CH4	553382.4020993869	t
2016	import_footprint	CH4	395097.5686013256	t
2016	production_account	CH4	189580.1935797	t
2016	total_footprint	CH4	509179.68869450485	t
2016	total_footprint_with_households	CH4	527567.2087506049	t
2016	production_account_with_households	CH4	207967.7136358	t
2016	household_totals	CH4	18387.5200561	t
2016	domestic_footprint	CO2	18028.797295651304	kt
2016	footprint_gross_exports	CO2	49107.11878490323	kt
2016	footprint_gross_imports	CO2	50972.720163107806	kt
2016	import_footprint	CO2	35826.88612905328	kt
2016	production_account	CO2	51990.0820465	kt
2016	total_footprint	CO2	53855.683424704584	kt
2016	total_footprint_with_households	CO2	59265.534746404584	kt
2016	production_account_with_households	CO2	57399.9333682	kt
2016	household_totals	CO2	5409.8513217	kt
2016	domestic_footprint	GHG	23.093585194868595	Mt
2016	footprint_gross_exports	GHG	58.88084321911287	Mt
2016	footprint_gross_imports	GHG	73.58530572853525	Mt
2016	import_footprint	GHG	51.98293500476088	Mt
2016	production_account	GHG	60.3720576902071	Mt
2016	total_footprint	GHG	75.07652019962947	Mt
2016	total_footprint_with_households	GHG	81.34971115215697	Mt
2016	production_account_with_households	GHG	66.6452486427346	Mt
2016	household_totals	GHG	6.273190952527499	Mt
2016	domestic_footprint	HFC	488931.4900946848	t
2016	footprint_gross_exports	HFC	863890.1426515075	t
2016	footprint_gross_imports	HFC	2135331.0547243375	t
2016	import_footprint	HFC	1479984.0348611448	t
2016	production_account	HFC	697474.612883	t
2016	total_footprint	HFC	1968915.5249558296	t
2016	total_footprint_with_households	HFC	2221751.3424325297	t
2016	production_account_with_households	HFC	950310.4303597	t
2016	household_totals	HFC	252835.8174767	t
2016	domestic_footprint	N2O	5062.325464388286	t
2016	footprint_gross_exports	N2O	5896.8440348112135	t
2016	footprint_gross_imports	N2O	13336.525927609478	t
2016	import_footprint	N2O	10568.075187609982	t
2016	production_account	N2O	8190.7187592	t
2016	total_footprint	N2O	15630.400651998269	t
2016	total_footprint_with_households	N2O	15898.00044229827	t
2016	production_account_with_households	N2O	8458.3185495	t
2016	household_totals	N2O	267.5997903	t
2016	domestic_footprint	PFC	12607.265973613874	t
2016	footprint_gross_exports	PFC	622327.6366186306	t
