year	region	emission	value	unit
2017	Norway	SF6_NF3	26870.043831901923	t
2018	Europe	Biomass CO2	4391.840909537513	kt
2018	Advanced	Biomass CO2	230.42109946947875	kt
2018	Developing	Biomass CO2	932.6143697961913	kt
2018	Norway	Biomass CO2	1845.9928095793416	kt
2018	Europe	CH4	78285.77997363459	t
2018	Advanced	CH4	36634.175563990175	t
2018	Developing	CH4	245116.81189120008	t
2018	Norway	CH4	119605.66238532851	t
2018	Europe	CO2	11834.160447101951	kt
2018	Advanced	CO2	4357.508933574391	kt
2018	Developing	CO2	16782.90548404964	kt
2018	Norway	CO2	18730.432637789407	kt
2018	Europe	GHG	15.957453503729285	Mt
2018	Advanced	GHG	5.784106383294524	Mt
2018	Developing	GHG	26.145898686959356	Mt
2018	Norway	GHG	24.074667005414582	Mt
2018	Europe	HFC	531803.8874823381	t
2018	Advanced	HFC	191455.51867964666	t
2018	Developing	HFC	830569.7107423415	t
2018	Norway	HFC	519940.3768631294	t
2018	Europe	N2O	3507.30350315158	t
2018	Advanced	N2O	609.2528716966051	t
2018	Developing	N2O	5271.143199045449	t
2018	Norway	N2O	5383.492141745523	t
2018	Europe	PFC	123261.57479335325	t
2018	Advanced	PFC	25262.112358598497	t
2018	Developing	PFC	216570.93814262026	t
2018	Norway	PFC	25162.833461990533	t
2018	Europe	SF6_NF3	346790.3267547059	t
2018	Advanced	SF6_NF3	22670.89189056228	t
2018	Developing	SF6_NF3	55728.873324107306	t
2018	Norway	SF6_NF3	23547.19294829465	t
2019	Europe	Biomass CO2	4228.745427928362	kt
2019	Advanced	Biomass CO2	228.57640820107204	kt
2019	Developing	Biomass CO2	850.6760947177812	kt
2019	Norway	Biomass CO2	2194.893361453883	kt
2019	Europe	CH4	77532.11976693706	t
2019	Advanced	CH4	34561.29473799516	t
2019	Developing	CH4	217595.484525108	t
2019	Norway	CH4	114729.27607356803	t
2019	Europe	CO2	11591.710799248134	kt
2019	Advanced	CO2	4254.011450478532	kt
2019	Developing	CO2	15256.472958625653	kt
2019	Norway	CO2	19020.630348614453	kt
2019	Europe	GHG	15.69493105018742	Mt
2019	Advanced	GHG	5.620508468244065	Mt
2019	Developing	GHG	23.685023141758833	Mt
2019	Norway	GHG	24.19499263319833	Mt
2019	Europe	HFC	550078.914207147	t
2019	Advanced	HFC	203619.04412768414	t
2019	Developing	HFC	789711.833218771	t
2019	Norway	HFC	489947.2043270533	t
2019	Europe	N2O	3466.026083025113	t
2019	Advanced	N2O	558.8009795790111	t
2019	Developing	N2O	4797.61561343454	t
2019	Norway	N2O	5312.4247524369775	t
2019	Europe	PFC	120983.56160572324	t
2019	Advanced	PFC	24763.096775445447	t
2019	Developing	PFC	220975.29850737005	t
2019	Norway	PFC	28906.3146340436	t
2019	Europe	SF6_NF3	342761.5096505244	t
2019	Advanced	SF6_NF3	22316.364610100507	t
2019	Developing	SF6_NF3	53821.34714386444	t
2019	Norway	SF6_NF3	35296.476167072535	t
2020	Europe	Biomass CO2	3961.9953087908398	kt
2020	Advanced	Biomass CO2	189.99411110595685	kt
2020	Developing	Biomass CO2	831.4186586342067	kt
2020	Norway	Biomass CO2	1896.631403652088	kt
2020	Europe	CH4	68960.3689198803	t
2020	Advanced	CH4	28133.321613328382	t
2020	Developing	CH4	218187.93540024443	t
2020	Norway	CH4	116754.42539140538	t
2020	Europe	CO2	9892.226251976992	kt
2020	Advanced	CO2	3895.5146355703	kt
2020	Developing	CO2	15441.210948397005	kt
2020	Norway	CO2	17471.150404703963	kt
2020	Europe	GHG	13.573422721418128	Mt
2020	Advanced	GHG	5.056919035065589	Mt
2020	Developing	GHG	23.821768991419315	Mt
2020	Norway	GHG	22.66033112295204	Mt
2020	Europe	HFC	515905.2756998531	t
2020	Advanced	HFC	188178.68873361664	t
2020	Developing	HFC	712719.4964867663	t
2020	Norway	HFC	433643.54448209394	t
2020	Europe	N2O	2975.645505639218	t
2020	Advanced	N2O	541.0234526072833	t
2020	Developing	N2O	4960.898591582733	t
2020	Norway	N2O	5339.761933082395	t
2020	Europe	PFC	121236.04616222662	t
2020	Advanced	PFC	21263.54763816371	t
2020	Developing	PFC	195074.3679215611	t
2020	Norway	PFC	32503.613350219173	t
2020	Europe	SF6_NF3	324618.75882801367	t
2020	Advanced	SF6_NF3	20857.943009384464	t
2020	Developing	SF6_NF3	48863.86063771419	t
2020	Norway	SF6_NF3	38872.73718957739	t
