year	emission	region	sector	value	unit
2012	CH4	Developing	Textiles & wearing apparel	34308.75367224062	t
2012	CH4	Norway	Textiles & wearing apparel	252.6476458399751	t
2012	CH4	Europe	Transport	2716.6834929943193	t
2012	CH4	Advanced	Transport	1263.5494340762518	t
2012	CH4	Developing	Transport	14691.887218961225	t
2012	CH4	Norway	Transport	2288.9717986497662	t
2012	CH4	Europe	Transport equipment	7160.221404290794	t
2012	CH4	Advanced	Transport equipment	2081.619223202141	t
2012	CH4	Developing	Transport equipment	19465.390959293913	t
2012	CH4	Norway	Transport equipment	1050.9113127513422	t
2012	CH4	Europe	Wholesale, retail , Hospitality	11263.181898237675	t
2012	CH4	Advanced	Wholesale, retail , Hospitality	4732.915144830088	t
2012	CH4	Developing	Wholesale, retail , Hospitality	59174.36179563341	t
2012	CH4	Norway	Wholesale, retail , Hospitality	6534.292685285018	t
2012	CH4	Europe	Wood, paper & publishing	513.1184298860953	t
2012	CH4	Advanced	Wood, paper & publishing	61.781751321334454	t
2012	CH4	Developing	Wood, paper & publishing	847.8580567803494	t
2012	CH4	Norway	Wood, paper & publishing	528.4320112376688	t
2012	CO2	Europe	Agriculture, forestry & fishing	233.41960246765504	kt
2012	CO2	Advanced	Agriculture, forestry & fishing	59.60866473863355	kt
2012	CO2	Developing	Agriculture, forestry & fishing	329.1138005724615	kt
2012	CO2	Norway	Agriculture, forestry & fishing	305.94275392369514	kt
2012	CO2	Europe	Business Services	1450.451392926217	kt
2012	CO2	Advanced	Business Services	569.2706453792196	kt
2012	CO2	Developing	Business Services	2662.6294286835023	kt
2012	CO2	Norway	Business Services	1720.7083193817512	kt
2012	CO2	Europe	Construction	1476.1905718719647	kt
2012	CO2	Advanced	Construction	476.9188448192109	kt
2012	CO2	Developing	Construction	2278.5679459709013	kt
2012	CO2	Norway	Construction	3294.194866379757	kt
2012	CO2	Europe	Electrical & machinery	982.0641804561936	kt
2012	CO2	Advanced	Electrical & machinery	520.4397041418191	kt
2012	CO2	Developing	Electrical & machinery	2286.4049060812877	kt
2012	CO2	Norway	Electrical & machinery	123.6632183653908	kt
2012	CO2	Europe	Electricity, gas & water	239.5492414211194	kt
2012	CO2	Advanced	Electricity, gas & water	36.36538375232482	kt
2012	CO2	Developing	Electricity, gas & water	272.73926895499545	kt
2012	CO2	Norway	Electricity, gas & water	738.6076272742336	kt
2012	CO2	Europe	Food, beverages & tobacco	861.4534432123247	kt
2012	CO2	Advanced	Food, beverages & tobacco	220.43889485717688	kt
2012	CO2	Developing	Food, beverages & tobacco	1094.1656046034964	kt
2012	CO2	Norway	Food, beverages & tobacco	926.9673805091496	kt
2012	CO2	Europe	Metal & metal products	146.421272202939	kt
2012	CO2	Advanced	Metal & metal products	92.34300021646948	kt
2012	CO2	Developing	Metal & metal products	347.9994564663877	kt
2012	CO2	Norway	Metal & metal products	64.13769266210853	kt
2012	CO2	Europe	Mining & quarrying	219.69520739083055	kt
2012	CO2	Advanced	Mining & quarrying	125.2338696309127	kt
2012	CO2	Developing	Mining & quarrying	492.90082975866085	kt
2012	CO2	Norway	Mining & quarrying	1814.8503094114003	kt
2012	CO2	Europe	Other manufacturing & recycl.	323.46835903642835	kt
2012	CO2	Advanced	Other manufacturing & recycl.	125.91605365867224	kt
2012	CO2	Developing	Other manufacturing & recycl.	698.2889505871235	kt
2012	CO2	Norway	Other manufacturing & recycl.	65.4642111586729	kt
2012	CO2	Europe	Petroleum, chem & non-met	1356.9139921640185	kt
2012	CO2	Advanced	Petroleum, chem & non-met	549.5319553688342	kt
2012	CO2	Developing	Petroleum, chem & non-met	1751.8424636180248	kt
2012	CO2	Norway	Petroleum, chem & non-met	1888.8090758457413	kt
2012	CO2	Europe	Public services	1153.4148310021512	kt
2012	CO2	Advanced	Public services	458.9514775665093	kt
2012	CO2	Developing	Public services	1874.7958782620735	kt
2012	CO2	Norway	Public services	1788.0280540473022	kt
2012	CO2	Europe	Recreation; other services	219.34966826081015	kt
2012	CO2	Advanced	Recreation; other services	93.95321509775042	kt
2012	CO2	Developing	Recreation; other services	439.9183635743168	kt
2012	CO2	Norway	Recreation; other services	285.2233175833012	kt
2012	CO2	Europe	Textiles & wearing apparel	368.97643172113925	kt
2012	CO2	Advanced	Textiles & wearing apparel	238.9590399867792	kt
2012	CO2	Developing	Textiles & wearing apparel	2726.328806429217	kt
2012	CO2	Norway	Textiles & wearing apparel	23.780842643735134	kt
2012	CO2	Europe	Transport	893.404270003933	kt
2012	CO2	Advanced	Transport	392.2239311540617	kt
2012	CO2	Developing	Transport	1440.855199679727	kt
2012	CO2	Norway	Transport	3731.614885057211	kt
2012	CO2	Europe	Transport equipment	1796.556063114402	kt
2012	CO2	Advanced	Transport equipment	838.2277376103218	kt
2012	CO2	Developing	Transport equipment	1962.5572422675477	kt
2012	CO2	Norway	Transport equipment	308.22685678185593	kt
2012	CO2	Europe	Wholesale, retail , Hospitality	1265.496130303766	kt
2012	CO2	Advanced	Wholesale, retail , Hospitality	588.9024806772687	kt
2012	CO2	Developing	Wholesale, retail , Hospitality	2490.683605037824	kt
2012	CO2	Norway	Wholesale, retail , Hospitality	1293.4615301957451	kt
2012	CO2	Europe	Wood, paper & publishing	95.3696425393021	kt
2012	CO2	Advanced	Wood, paper & publishing	16.318061988957254	kt
2012	CO2	Developing	Wood, paper & publishing	62.35739776667802	kt
2012	CO2	Norway	Wood, paper & publishing	30.427087944947285	kt
2012	GHG	Europe	Agriculture, forestry & fishing	0.4819488667578261	Mt
2012	GHG	Advanced	Agriculture, forestry & fishing	0.0938709405504067	Mt
2012	GHG	Developing	Agriculture, forestry & fishing	0.9356889534305364	Mt
2012	GHG	Norway	Agriculture, forestry & fishing	1.3042028790111544	Mt
2012	GHG	Europe	Business Services	1.7618724876543925	Mt
2012	GHG	Advanced	Business Services	0.6820907568500537	Mt
2012	GHG	Developing	Business Services	3.8092656895212365	Mt
2012	GHG	Norway	Business Services	2.038610433139529	Mt
2012	GHG	Europe	Construction	1.8258167220621406	Mt
