year	component	emission	sector	region	value	unit
2012	domestic	CO2	Construction	Developing	0.0	kt
2012	domestic	CO2	Construction	Norway	18.541477420294083	kt
2012	domestic	CO2	Electrical & machinery	Europe	0.0	kt
2012	domestic	CO2	Electrical & machinery	Advanced	0.0	kt
2012	domestic	CO2	Electrical & machinery	Developing	0.0	kt
2012	domestic	CO2	Electrical & machinery	Norway	14.294452975356391	kt
2012	domestic	CO2	Electricity, gas & water	Europe	0.0	kt
2012	domestic	CO2	Electricity, gas & water	Advanced	0.0	kt
2012	domestic	CO2	Electricity, gas & water	Developing	0.0	kt
2012	domestic	CO2	Electricity, gas & water	Norway	681.6842954875972	kt
2012	domestic	CO2	Food, beverages & tobacco	Europe	0.0	kt
2012	domestic	CO2	Food, beverages & tobacco	Advanced	0.0	kt
2012	domestic	CO2	Food, beverages & tobacco	Developing	0.0	kt
2012	domestic	CO2	Food, beverages & tobacco	Norway	709.8078874265129	kt
2012	domestic	CO2	Metal & metal products	Europe	0.0	kt
2012	domestic	CO2	Metal & metal products	Advanced	0.0	kt
2012	domestic	CO2	Metal & metal products	Developing	0.0	kt
2012	domestic	CO2	Metal & metal products	Norway	4.790070587524224	kt
2012	domestic	CO2	Mining & quarrying	Europe	0.0	kt
2012	domestic	CO2	Mining & quarrying	Advanced	0.0	kt
2012	domestic	CO2	Mining & quarrying	Developing	0.0	kt
2012	domestic	CO2	Mining & quarrying	Norway	10.303254036093495	kt
2012	domestic	CO2	Other manufacturing & recycl.	Europe	0.0	kt
2012	domestic	CO2	Other manufacturing & recycl.	Advanced	0.0	kt
2012	domestic	CO2	Other manufacturing & recycl.	Developing	0.0	kt
2012	domestic	CO2	Other manufacturing & recycl.	Norway	21.040026255816787	kt
2012	domestic	CO2	Petroleum, chem & non-met	Europe	0.0	kt
2012	domestic	CO2	Petroleum, chem & non-met	Advanced	0.0	kt
2012	domestic	CO2	Petroleum, chem & non-met	Developing	0.0	kt
2012	domestic	CO2	Petroleum, chem & non-met	Norway	552.9940199050156	kt
2012	domestic	CO2	Public services	Europe	0.0	kt
2012	domestic	CO2	Public services	Advanced	0.0	kt
2012	domestic	CO2	Public services	Developing	0.0	kt
2012	domestic	CO2	Public services	Norway	126.65856908027523	kt
2012	domestic	CO2	Recreation; other services	Europe	0.0	kt
2012	domestic	CO2	Recreation; other services	Advanced	0.0	kt
2012	domestic	CO2	Recreation; other services	Developing	0.0	kt
2012	domestic	CO2	Recreation; other services	Norway	128.65362495032926	kt
2012	domestic	CO2	Textiles & wearing apparel	Europe	0.0	kt
2012	domestic	CO2	Textiles & wearing apparel	Advanced	0.0	kt
2012	domestic	CO2	Textiles & wearing apparel	Developing	0.0	kt
2012	domestic	CO2	Textiles & wearing apparel	Norway	16.341168216083727	kt
2012	domestic	CO2	Transport	Europe	0.0	kt
2012	domestic	CO2	Transport	Advanced	0.0	kt
2012	domestic	CO2	Transport	Developing	0.0	kt
2012	domestic	CO2	Transport	Norway	2423.271078085568	kt
2012	domestic	CO2	Transport equipment	Europe	0.0	kt
2012	domestic	CO2	Transport equipment	Advanced	0.0	kt
2012	domestic	CO2	Transport equipment	Developing	0.0	kt
2012	domestic	CO2	Transport equipment	Norway	36.58542942890612	kt
2012	domestic	CO2	Wholesale, retail & hospitality	Europe	0.0	kt
2012	domestic	CO2	Wholesale, retail & hospitality	Advanced	0.0	kt
2012	domestic	CO2	Wholesale, retail & hospitality	Developing	0.0	kt
2012	domestic	CO2	Wholesale, retail & hospitality	Norway	977.8847939283005	kt
2012	domestic	CO2	Wood, paper & publishing	Europe	0.0	kt
2012	domestic	CO2	Wood, paper & publishing	Advanced	0.0	kt
2012	domestic	CO2	Wood, paper & publishing	Developing	0.0	kt
2012	domestic	CO2	Wood, paper & publishing	Norway	20.613986906216134	kt
2012	domestic	GHG	Agriculture, forestry & fishing	Europe	0.0	Mt
2012	domestic	GHG	Agriculture, forestry & fishing	Advanced	0.0	Mt
2012	domestic	GHG	Agriculture, forestry & fishing	Developing	0.0	Mt
2012	domestic	GHG	Agriculture, forestry & fishing	Norway	1.049127736055209	Mt
2012	domestic	GHG	Business Services	Europe	0.0	Mt
2012	domestic	GHG	Business Services	Advanced	0.0	Mt
2012	domestic	GHG	Business Services	Developing	0.0	Mt
2012	domestic	GHG	Business Services	Norway	1.3186853369662304	Mt
2012	domestic	GHG	Construction	Europe	0.0	Mt
2012	domestic	GHG	Construction	Advanced	0.0	Mt
2012	domestic	GHG	Construction	Developing	0.0	Mt
2012	domestic	GHG	Construction	Norway	0.020732235691485	Mt
2012	domestic	GHG	Electrical & machinery	Europe	0.0	Mt
2012	domestic	GHG	Electrical & machinery	Advanced	0.0	Mt
2012	domestic	GHG	Electrical & machinery	Developing	0.0	Mt
2012	domestic	GHG	Electrical & machinery	Norway	0.0166490269978414	Mt
2012	domestic	GHG	Electricity, gas & water	Europe	0.0	Mt
2012	domestic	GHG	Electricity, gas & water	Advanced	0.0	Mt
2012	domestic	GHG	Electricity, gas & water	Developing	0.0	Mt
2012	domestic	GHG	Electricity, gas & water	Norway	1.0190037389799307	Mt
2012	domestic	GHG	Food, beverages & tobacco	Europe	0.0	Mt
2012	domestic	GHG	Food, beverages & tobacco	Advanced	0.0	Mt
2012	domestic	GHG	Food, beverages & tobacco	Developing	0.0	Mt
2012	domestic	GHG	Food, beverages & tobacco	Norway	2.211002270494032	Mt
2012	domestic	GHG	Metal & metal products	Europe	0.0	Mt
2012	domestic	GHG	Metal & metal products	Advanced	0.0	Mt
2012	domestic	GHG	Metal & metal products	Developing	0.0	Mt
2012	domestic	GHG	Metal & metal products	Norway	0.0053862493244352	Mt
2012	domestic	GHG	Mining & quarrying	Europe	0.0	Mt
