year	emission	sector	region	value	unit
2012	GHG	Electricity, gas & water	Advanced	0.0538033053861975	Mt
2012	GHG	Electricity, gas & water	Developing	0.40423499977605615	Mt
2012	GHG	Electricity, gas & water	Norway	1.1257437501216887	Mt
2012	GHG	Food, beverages & tobacco	Europe	1.8254239716552865	Mt
2012	GHG	Food, beverages & tobacco	Advanced	0.36264928930402107	Mt
2012	GHG	Food, beverages & tobacco	Developing	2.164808783541967	Mt
2012	GHG	Food, beverages & tobacco	Norway	2.871170492822295	Mt
2012	GHG	Metal & metal products	Europe	0.19192047929564474	Mt
2012	GHG	Metal & metal products	Advanced	0.1249082261354448	Mt
2012	GHG	Metal & metal products	Developing	0.47149033172524707	Mt
2012	GHG	Metal & metal products	Norway	0.0713457213763607	Mt
2012	GHG	Mining & quarrying	Europe	0.330266520090622	Mt
2012	GHG	Mining & quarrying	Advanced	0.1910780978284206	Mt
2012	GHG	Mining & quarrying	Developing	0.7084020253723796	Mt
2012	GHG	Mining & quarrying	Norway	1.920756502038236	Mt
2012	GHG	Other manufacturing & recycl.	Europe	0.5283929692601413	Mt
2012	GHG	Other manufacturing & recycl.	Advanced	0.22988575910221648	Mt
2012	GHG	Other manufacturing & recycl.	Developing	2.544285829043778	Mt
2012	GHG	Other manufacturing & recycl.	Norway	0.08329743947149759	Mt
2012	GHG	Petroleum, chem & non-met	Europe	1.6644866860119367	Mt
2012	GHG	Petroleum, chem & non-met	Advanced	0.48990706645534104	Mt
2012	GHG	Petroleum, chem & non-met	Developing	2.347233400547913	Mt
2012	GHG	Petroleum, chem & non-met	Norway	2.142447505828045	Mt
2012	GHG	Public services	Europe	1.6045630986314865	Mt
2012	GHG	Public services	Advanced	0.5594597594596835	Mt
2012	GHG	Public services	Developing	3.1079689638015116	Mt
2012	GHG	Public services	Norway	2.2314080959116582	Mt
2012	GHG	Recreation; other services	Europe	0.31457537031369326	Mt
2012	GHG	Recreation; other services	Advanced	0.1381635341170787	Mt
2012	GHG	Recreation; other services	Developing	0.7910747951182828	Mt
2012	GHG	Recreation; other services	Norway	0.36737084098172657	Mt
2012	GHG	Textiles & wearing apparel	Europe	0.5041743018450608	Mt
2012	GHG	Textiles & wearing apparel	Advanced	0.20849862254708001	Mt
2012	GHG	Textiles & wearing apparel	Developing	3.219300338316628	Mt
2012	GHG	Textiles & wearing apparel	Norway	0.0318149054432443	Mt
2012	GHG	Transport	Europe	1.0976296710740052	Mt
2012	GHG	Transport	Advanced	0.7361310180338723	Mt
2012	GHG	Transport	Developing	1.891973557092909	Mt
2012	GHG	Transport	Norway	3.8663154377000453	Mt
2012	GHG	Transport equipment	Europe	1.8544658188881964	Mt
2012	GHG	Transport equipment	Advanced	0.8491365545450531	Mt
2012	GHG	Transport equipment	Developing	3.0461746421758624	Mt
2012	GHG	Transport equipment	Norway	0.34895297823306415	Mt
2012	GHG	Wholesale, retail & hospitality	Europe	2.278213825348335	Mt
2012	GHG	Wholesale, retail & hospitality	Advanced	0.9900923944948594	Mt
2012	GHG	Wholesale, retail & hospitality	Developing	4.245928330353337	Mt
2012	GHG	Wholesale, retail & hospitality	Norway	1.5955402609734235	Mt
2012	GHG	Wood, paper & publishing	Europe	0.1645090205018993	Mt
2012	GHG	Wood, paper & publishing	Advanced	0.01979694711555527	Mt
2012	GHG	Wood, paper & publishing	Developing	0.13150505004654456	Mt
2012	GHG	Wood, paper & publishing	Norway	0.047191525460525297	Mt
2012	HFC	Agriculture, forestry & fishing	Europe	26457.46869731503	t CO2-eq
2012	HFC	Agriculture, forestry & fishing	Advanced	2042.8683334919447	t CO2-eq
2012	HFC	Agriculture, forestry & fishing	Developing	18825.544333130223	t CO2-eq
2012	HFC	Agriculture, forestry & fishing	Norway	9974.411154506339	t CO2-eq
2012	HFC	Business Services	Europe	51736.1319142037	t CO2-eq
2012	HFC	Business Services	Advanced	10030.476044017225	t CO2-eq
2012	HFC	Business Services	Developing	86254.77242752849	t CO2-eq
2012	HFC	Business Services	Norway	61871.13665616744	t CO2-eq
2012	HFC	Construction	Europe	70347.472454659	t CO2-eq
2012	HFC	Construction	Advanced	10850.390706275739	t CO2-eq
2012	HFC	Construction	Developing	86243.83601137607	t CO2-eq
2012	HFC	Construction	Norway	47483.201650920615	t CO2-eq
2012	HFC	Electrical & machinery	Europe	34080.55525231249	t CO2-eq
2012	HFC	Electrical & machinery	Advanced	9262.42343254148	t CO2-eq
2012	HFC	Electrical & machinery	Developing	85310.8703292965	t CO2-eq
2012	HFC	Electrical & machinery	Norway	3097.910440542391	t CO2-eq
2012	HFC	Electricity, gas & water	Europe	5292.823031517502	t CO2-eq
2012	HFC	Electricity, gas & water	Advanced	1105.3677486707575	t CO2-eq
2012	HFC	Electricity, gas & water	Developing	5517.3395347691385	t CO2-eq
2012	HFC	Electricity, gas & water	Norway	73950.0528769398	t CO2-eq
2012	HFC	Food, beverages & tobacco	Europe	59327.23422428308	t CO2-eq
