year	emission	hhld_component	value	unit
2019	GHG	Households, totals	5.0595670954565	Mt
2019	Biomass CO2	Heating/cooling	1637.5408737	kt
2019	Biomass CO2	Other	16.0116097	kt
2019	Biomass CO2	Transport	564.0249075	kt
2019	Biomass CO2	Households, totals	2217.577391	kt
2019	CO2	Heating/cooling	74.3113204	kt
2019	CO2	Other	369.779224	kt
2019	CO2	Transport	3851.8676839	kt
2019	CO2	Households, totals	4295.9582283	kt
2019	CH4	Heating/cooling	7201.4773697	t
2019	CH4	Other	8446.4332504	t
2019	CH4	Transport	559.9453207	t
2019	CH4	Households, totals	16207.8559407	t
2019	N2O	Heating/cooling	29.4307525	t
2019	N2O	Other	65.743518	t
2019	N2O	Transport	130.1791054	t
2019	N2O	Households, totals	225.3533759	t
2019	HFC	Heating/cooling	0.0	t CO2-eq
2019	HFC	Other	226065.7347034	t CO2-eq
2019	HFC	Transport	0.0	t CO2-eq
2019	HFC	Households, totals	226065.7347034	t CO2-eq
2019	PFC	Heating/cooling	0.0	t CO2-eq
2019	PFC	Other	0.0	t CO2-eq
2019	PFC	Transport	0.0	t CO2-eq
2019	PFC	Households, totals	0.0	t CO2-eq
2019	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2019	SF6_NF3	Other	24004.5215	t CO2-eq
2019	SF6_NF3	Transport	0.0	t CO2-eq
2019	SF6_NF3	Households, totals	24004.5215	t CO2-eq
2020	GHG	Heating/cooling	0.2810246365752	Mt
2020	GHG	Other	0.8704505803554001	Mt
2020	GHG	Transport	3.9568595395766	Mt
2020	GHG	Households, totals	5.108334756507199	Mt
2020	Biomass CO2	Heating/cooling	1785.1734247	kt
2020	Biomass CO2	Other	15.8711511	kt
2020	Biomass CO2	Transport	488.8378085	kt
2020	Biomass CO2	Households, totals	2289.8823844	kt
2020	CO2	Heating/cooling	42.0566602	kt
2020	CO2	Other	380.8182201	kt
2020	CO2	Transport	3907.7527841	kt
2020	CO2	Households, totals	4330.6276644	kt
2020	CH4	Heating/cooling	8233.5212114	t
2020	CH4	Other	8537.0906543	t
2020	CH4	Transport	529.3421397	t
2020	CH4	Households, totals	17299.9540054	t
2020	N2O	Heating/cooling	31.8089904	t
2020	N2O	Other	69.2312846	t
2020	N2O	Transport	129.378021	t
2020	N2O	Households, totals	230.418296	t
2020	HFC	Heating/cooling	0.0	t CO2-eq
2020	HFC	Other	208481.981516	t CO2-eq
2020	HFC	Transport	0.0	t CO2-eq
2020	HFC	Households, totals	208481.981516	t CO2-eq
2020	PFC	Heating/cooling	0.0	t CO2-eq
2020	PFC	Other	0.0	t CO2-eq
2020	PFC	Transport	0.0	t CO2-eq
2020	PFC	Households, totals	0.0	t CO2-eq
2020	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2020	SF6_NF3	Other	23765.55	t CO2-eq
2020	SF6_NF3	Transport	0.0	t CO2-eq
2020	SF6_NF3	Households, totals	23765.55	t CO2-eq
2021	GHG	Heating/cooling	0.2897679176234	Mt
2021	GHG	Other	0.8250255501989	Mt
2021	GHG	Transport	3.9541142247147	Mt
2021	GHG	Households, totals	5.0689076925398	Mt
2021	Biomass CO2	Heating/cooling	1985.1213475	kt
2021	Biomass CO2	Other	26.1911591	kt
2021	Biomass CO2	Transport	493.8070563	kt
2021	Biomass CO2	Households, totals	2505.1195629	kt
2021	CO2	Heating/cooling	47.1379228	kt
2021	CO2	Other	370.3640951	kt
2021	CO2	Transport	3906.3051597	kt
2021	CO2	Households, totals	4323.8071776	kt
2021	CH4	Heating/cooling	8331.0052333	t
2021	CH4	Other	8572.2307409	t
2021	CH4	Transport	507.9096624	t
2021	CH4	Households, totals	17411.1456367	t
2021	N2O	Heating/cooling	35.3277294	t
2021	N2O	Other	68.9221453	t
2021	N2O	Transport	126.7456395	t
2021	N2O	Households, totals	230.9955142	t
2021	HFC	Heating/cooling	0.0	t CO2-eq
2021	HFC	Other	172847.7907292	t CO2-eq
2021	HFC	Transport	0.0	t CO2-eq
2021	HFC	Households, totals	172847.7907292	t CO2-eq
2021	PFC	Heating/cooling	0.0	t CO2-eq
2021	PFC	Other	0.0	t CO2-eq
2021	PFC	Transport	0.0	t CO2-eq
2021	PFC	Households, totals	0.0	t CO2-eq
2021	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2021	SF6_NF3	Other	23526.83512	t CO2-eq
2021	SF6_NF3	Transport	0.0	t CO2-eq
2021	SF6_NF3	Households, totals	23526.83512	t CO2-eq
