year	region	emission	value	unit
2017	Advanced	PFC	18711.42403960232	t CO2-eq
2017	Developing	PFC	72697.80707318053	t CO2-eq
2017	Norway	PFC	15841.042349432892	t CO2-eq
2017	Europe	SF6_NF3	35239.175376024476	t CO2-eq
2017	Advanced	SF6_NF3	28157.817158820242	t CO2-eq
2017	Developing	SF6_NF3	172343.08868864024	t CO2-eq
2017	Norway	SF6_NF3	25546.933542315743	t CO2-eq
2018	Europe	Biomass CO2	4858.586536110237	kt
2018	Advanced	Biomass CO2	329.9326397768426	kt
2018	Developing	Biomass CO2	1940.341549090775	kt
2018	Norway	Biomass CO2	1843.207287875424	kt
2018	Europe	CH4	93210.42923150216	t
2018	Advanced	CH4	42531.37955725278	t
2018	Developing	CH4	227824.20285212295	t
2018	Norway	CH4	123221.99995990448	t
2018	Europe	CO2	13160.316455208249	kt
2018	Advanced	CO2	3971.390272587936	kt
2018	Developing	CO2	20384.727606030046	kt
2018	Norway	CO2	18843.024228965747	kt
2018	Europe	GHG	17.41225229901879	Mt
2018	Advanced	GHG	5.448984187151919	Mt
2018	Developing	GHG	28.97574804615056	Mt
2018	Norway	GHG	24.267019811854563	Mt
2018	Europe	HFC	560788.8158360516	t CO2-eq
2018	Advanced	HFC	72800.65719742479	t CO2-eq
2018	Developing	HFC	985952.1962640106	t CO2-eq
2018	Norway	HFC	523814.4049660682	t CO2-eq
2018	Europe	N2O	3828.916637059049	t
2018	Advanced	N2O	635.9530577748594	t
2018	Developing	N2O	3714.993091929734	t
2018	Norway	N2O	5312.980369227114	t
2018	Europe	PFC	31063.95746897701	t CO2-eq
2018	Advanced	PFC	15048.884148690731	t CO2-eq
2018	Developing	PFC	82743.75100013235	t CO2-eq
2018	Norway	PFC	19717.31124775348	t CO2-eq
2018	Europe	SF6_NF3	35528.14320280475	t CO2-eq
2018	Advanced	SF6_NF3	30338.18530445262	t CO2-eq
2018	Developing	SF6_NF3	158773.64363555342	t CO2-eq
2018	Norway	SF6_NF3	22308.06995248685	t CO2-eq
2019	Europe	Biomass CO2	4777.729481195145	kt
2019	Advanced	Biomass CO2	313.262450981363	kt
2019	Developing	Biomass CO2	1860.6268939615684	kt
2019	Norway	Biomass CO2	2190.6175596519347	kt
2019	Europe	CH4	92301.0635373879	t
2019	Advanced	CH4	39967.25903820353	t
2019	Developing	CH4	258751.81993997903	t
2019	Norway	CH4	120191.07944176457	t
2019	Europe	CO2	12626.41079857102	kt
2019	Advanced	CO2	3978.0139827166913	kt
2019	Developing	CO2	22376.867683729706	kt
2019	Norway	CO2	19189.189279699487	kt
2019	Europe	GHG	16.799577096783786	Mt
2019	Advanced	GHG	5.347808406607828	Mt
2019	Developing	GHG	31.864638654694723	Mt
2019	Norway	GHG	24.48676345154336	Mt
2019	Europe	HFC	476350.7126772175	t CO2-eq
2019	Advanced	HFC	75157.86059681326	t CO2-eq
2019	Developing	HFC	894464.7163144023	t CO2-eq
2019	Norway	HFC	494730.6563728938	t CO2-eq
2019	Europe	N2O	3955.691102215419	t
2019	Advanced	N2O	487.17143243847204	t
2019	Developing	N2O	4119.319030862618	t
2019	Norway	N2O	5232.838154913737	t
2019	Europe	PFC	30956.50333428024	t CO2-eq
2019	Advanced	PFC	15976.582380412447	t CO2-eq
2019	Developing	PFC	88998.58561710744	t CO2-eq
2019	Norway	PFC	16740.743415561414	t CO2-eq
2019	Europe	SF6_NF3	33171.16106731925	t CO2-eq
2019	Advanced	SF6_NF3	30476.29824801781	t CO2-eq
2019	Developing	SF6_NF3	167637.1675354983	t CO2-eq
2019	Norway	SF6_NF3	34050.436633865655	t CO2-eq
2020	Europe	Biomass CO2	3959.0863715652304	kt
2020	Advanced	Biomass CO2	268.779415411536	kt
2020	Developing	Biomass CO2	1668.325302110008	kt
2020	Norway	Biomass CO2	1894.0234283504487	kt
2020	Europe	CH4	74895.27082007725	t
2020	Advanced	CH4	23719.932835992084	t
2020	Developing	CH4	215762.41815423896	t
2020	Norway	CH4	119860.3271383482	t
2020	Europe	CO2	10155.574113434222	kt
2020	Advanced	CO2	2961.8799084025068	kt
2020	Developing	CO2	19866.247268814204	kt
2020	Norway	CO2	17544.041392036805	kt
2020	Europe	GHG	13.613329265403626	Mt
2020	Advanced	GHG	3.849471526451295	Mt
2020	Developing	GHG	27.953009833292427	Mt
2020	Norway	GHG	22.79976719411816	Mt
2020	Europe	HFC	437414.74266979564	t CO2-eq
2020	Advanced	HFC	65157.97461435245	t CO2-eq
2020	Developing	HFC	919963.6764117095	t CO2-eq
2020	Norway	HFC	437133.58965572994	t CO2-eq
2020	Europe	N2O	3252.539162442627	t
2020	Advanced	N2O	447.4530551366579	t
2020	Developing	N2O	3298.281986779547	t
2020	Norway	N2O	5279.936583906841	t
2020	Europe	PFC	29817.451856597327	t CO2-eq
2020	Advanced	PFC	15387.63783046573	t CO2-eq
2020	Developing	PFC	85767.62461225367	t CO2-eq
2020	Norway	PFC	25540.58813629276	t CO2-eq
2020	Europe	SF6_NF3	31532.49643355336	t CO2-eq
2020	Advanced	SF6_NF3	24312.82658497674	t CO2-eq
2020	Developing	SF6_NF3	165638.8286389894	t CO2-eq
2020	Norway	SF6_NF3	37779.26968027001	t CO2-eq
2021	Europe	Biomass CO2	5971.711605207724	kt
2021	Advanced	Biomass CO2	278.1953170255307	kt
2021	Developing	Biomass CO2	2044.0477026956603	kt
2021	Norway	Biomass CO2	1916.0953205870512	kt
2021	Europe	CH4	65850.96344571961	t
2021	Advanced	CH4	21081.287666124525	t
2021	Developing	CH4	237901.4079607354	t
2021	Norway	CH4	114323.8325545108	t
2021	Europe	CO2	10756.946497081999	kt
2021	Advanced	CO2	3671.0520151205637	kt
2021	Developing	CO2	24354.57302785632	kt
2021	Norway	CO2	14934.959629274816	kt
2021	Europe	GHG	13.792813739293416	Mt
2021	Advanced	GHG	4.563273721348676	Mt
2021	Developing	GHG	33.51175102928931	Mt
2021	Norway	GHG	19.9853160595187	Mt
2021	Europe	HFC	358845.3433167874	t CO2-eq
2021	Advanced	HFC	110364.11858892985	t CO2-eq
2021	Developing	HFC	1157276.1308954002	t CO2-eq
2021	Norway	HFC	363086.06210758095	t CO2-eq
2021	Europe	N2O	2935.2964168771223	t
2021	Advanced	N2O	537.1099715923589	t
2021	Developing	N2O	3900.6460667595315	t
2021	Norway	N2O	5243.417216958303	t
2021	Europe	PFC	28331.376390458594	t CO2-eq
2021	Advanced	PFC	15055.596940699463	t CO2-eq
2021	Developing	PFC	100189.16837154637	t CO2-eq
2021	Norway	PFC	71211.88678827461	t CO2-eq
2021	Europe	SF6_NF3	27009.99555158683	t CO2-eq
2021	Advanced	SF6_NF3	34191.793575020754	t CO2-eq
2021	Developing	SF6_NF3	204802.0715741758	t CO2-eq
2021	Norway	SF6_NF3	25485.607327772097	t CO2-eq
