year	component	emission	sector	value	unit
2012	footprint_gross_exports	CO2	Electrical & machinery	1998.4912432856	kt
2012	footprint_gross_exports	CO2	Construction	39.42699941856208	kt
2012	footprint_gross_exports	CO2	Recreation; other services	25.47260410173423	kt
2012	footprint_gross_exports	CO2	Public services	17.9863290525121	kt
2012	footprint_gross_exports	CO2	Electricity, gas & water	365.5534708193196	kt
2012	footprint_gross_exports	CO2	Agriculture, forestry & fishing	788.2758906515273	kt
2012	footprint_gross_exports	CO2	Food, beverages & tobacco	1111.8748398491628	kt
2012	footprint_gross_exports	CO2	Other manufacturing & recycl.	286.8492914150081	kt
2012	footprint_gross_exports	CO2	Mining & quarrying	16514.257000421396	kt
2012	footprint_gross_exports	CO2	Transport equipment	542.3301258627422	kt
2012	footprint_gross_exports	CO2	Wood, paper & publishing	344.82203911803396	kt
2012	footprint_gross_exports	CO2	Textiles & wearing apparel	35.074257552040535	kt
2012	footprint_gross_exports	GHG	Wholesale, retail & hospitality	1.9696716309661546	Mt
2012	footprint_gross_exports	GHG	Business Services	1.527129726171455	Mt
2012	footprint_gross_exports	GHG	Transport	18.936638904085825	Mt
2012	footprint_gross_exports	GHG	Metal & metal products	10.030399254301214	Mt
2012	footprint_gross_exports	GHG	Petroleum, chem & non-met	6.526149967357785	Mt
2012	footprint_gross_exports	GHG	Electrical & machinery	2.542260464681562	Mt
2012	footprint_gross_exports	GHG	Construction	0.048535469207387	Mt
2012	footprint_gross_exports	GHG	Recreation; other services	0.033551253571795704	Mt
2012	footprint_gross_exports	GHG	Public services	0.0238782358378892	Mt
2012	footprint_gross_exports	GHG	Electricity, gas & water	0.920953376821988	Mt
2012	footprint_gross_exports	GHG	Agriculture, forestry & fishing	1.2038068476148454	Mt
2012	footprint_gross_exports	GHG	Food, beverages & tobacco	2.4706585409455317	Mt
2012	footprint_gross_exports	GHG	Other manufacturing & recycl.	0.3693842536125926	Mt
2012	footprint_gross_exports	GHG	Mining & quarrying	18.53030667400938	Mt
2012	footprint_gross_exports	GHG	Transport equipment	0.6871540344187967	Mt
2012	footprint_gross_exports	GHG	Wood, paper & publishing	0.5006951860679821	Mt
2012	footprint_gross_exports	GHG	Textiles & wearing apparel	0.0486357725461882	Mt
2012	footprint_gross_exports	HFC	Wholesale, retail & hospitality	76562.33164906611	t CO2-eq
2012	footprint_gross_exports	HFC	Business Services	34025.543365399	t CO2-eq
2012	footprint_gross_exports	HFC	Transport	155308.21427746615	t CO2-eq
2012	footprint_gross_exports	HFC	Metal & metal products	144679.3148341679	t CO2-eq
2012	footprint_gross_exports	HFC	Petroleum, chem & non-met	135278.1477907408	t CO2-eq
2012	footprint_gross_exports	HFC	Electrical & machinery	50526.6626151442	t CO2-eq
2012	footprint_gross_exports	HFC	Construction	934.1782797869444	t CO2-eq
2012	footprint_gross_exports	HFC	Recreation; other services	1212.2920606273533	t CO2-eq
2012	footprint_gross_exports	HFC	Public services	700.8293564816038	t CO2-eq
2012	footprint_gross_exports	HFC	Electricity, gas & water	49534.13243060812	t CO2-eq
2012	footprint_gross_exports	HFC	Agriculture, forestry & fishing	34220.577203122964	t CO2-eq
2012	footprint_gross_exports	HFC	Food, beverages & tobacco	58657.47425144619	t CO2-eq
2012	footprint_gross_exports	HFC	Other manufacturing & recycl.	7410.089978734688	t CO2-eq
2012	footprint_gross_exports	HFC	Mining & quarrying	158997.8283425347	t CO2-eq
