year	region	emission	value	unit
2018	Advanced	PFC	25262.112358598497	t
2018	Developing	PFC	214980.60045995945	t
2018	Norway	PFC	25162.833461990536	t
2018	Europe	SF6_NF3	349564.2895820856	t
2018	Advanced	SF6_NF3	22670.891890562285	t
2018	Developing	SF6_NF3	52954.91049672767	t
2018	Norway	SF6_NF3	47794.18808279464	t
2019	Europe	Biomass CO2	4264.0601449506285	kt
2019	Advanced	Biomass CO2	228.57640820107204	kt
2019	Developing	Biomass CO2	815.3613776955148	kt
2019	Norway	Biomass CO2	4412.470752453883	kt
2019	Europe	CH4	89670.67194400799	t
2019	Advanced	CH4	34561.29473799515	t
2019	Developing	CH4	205456.93234803708	t
2019	Norway	CH4	130937.13201426802	t
2019	Europe	CO2	12372.141868546045	kt
2019	Advanced	CO2	4254.011450478532	kt
2019	Developing	CO2	14476.041889327742	kt
2019	Norway	CO2	23316.58857691445	kt
2019	Europe	GHG	16.961685573228248	Mt
2019	Advanced	GHG	5.620508468244065	Mt
2019	Developing	GHG	22.418268618718006	Mt
2019	Norway	GHG	29.254559728654822	Mt
2019	Europe	HFC	578371.0090057591	t
2019	Advanced	HFC	203619.04412768414	t
2019	Developing	HFC	761419.7384201589	t
2019	Norway	HFC	716012.9390304533	t
2019	Europe	N2O	3894.205089771301	t
2019	Advanced	N2O	558.8009795790111	t
2019	Developing	N2O	4369.436606688352	t
2019	Norway	N2O	5537.778128336979	t
2019	Europe	PFC	122809.12963762089	t
2019	Advanced	PFC	24763.09677544545	t
2019	Developing	PFC	219149.7304754724	t
2019	Norway	PFC	28906.3146340436	t
2019	Europe	SF6_NF3	345620.4028172048	t
2019	Advanced	SF6_NF3	22316.364610100507	t
2019	Developing	SF6_NF3	50962.453977184094	t
2019	Norway	SF6_NF3	59300.99766707253	t
2020	Europe	Biomass CO2	4008.3401293754	kt
2020	Advanced	Biomass CO2	189.99411110595685	kt
2020	Developing	Biomass CO2	785.0738380496465	kt
2020	Norway	Biomass CO2	4186.513788052087	kt
2020	Europe	CH4	79840.70567426809	t
2020	Advanced	CH4	28133.321613328382	t
2020	Developing	CH4	207307.59864585663	t
2020	Norway	CH4	134054.37939680537	t
2020	Europe	CO2	10581.214816038691	kt
2020	Advanced	CO2	3895.5146355703	kt
2020	Developing	CO2	14752.222384335306	kt
2020	Norway	CO2	21801.77806910396	kt
2020	Europe	GHG	14.701345444726947	Mt
2020	Advanced	GHG	5.056919035065589	Mt
2020	Developing	GHG	22.693846268110498	Mt
2020	Norway	GHG	27.76866587945924	Mt
2020	Europe	HFC	543091.7680101325	t
2020	Advanced	HFC	188178.68873361664	t
2020	Developing	HFC	685533.0041764869	t
2020	Norway	HFC	642125.5259980939	t
2020	Europe	N2O	3363.4497346408184	t
2020	Advanced	N2O	541.0234526072833	t
2020	Developing	N2O	4573.094362581133	t
2020	Norway	N2O	5570.180229082393	t
2020	Europe	PFC	122840.21589493261	t
2020	Advanced	PFC	21263.54763816371	t
2020	Developing	PFC	193470.1981888551	t
2020	Norway	PFC	32503.613350219173	t
2020	Europe	SF6_NF3	327344.7062238651	t
2020	Advanced	SF6_NF3	20857.943009384468	t
2020	Developing	SF6_NF3	46137.913241862785	t
2020	Norway	SF6_NF3	62638.287189577386	t
